date,상품,카테고리,발매가,브랜드,리셀가
2025-01-13T14:40:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T14:27:14Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T14:26:13Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T14:25:25Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T14:22:28Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T14:17:47Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T14:17:24Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T14:16:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T14:15:48Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T14:15:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T14:07:23Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,119000
2025-01-13T14:06:13Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T14:05:22Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T14:02:12Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T14:00:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T13:57:27Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T13:55:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:53:11Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T13:52:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,106000
2025-01-13T13:50:40Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T13:50:18Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T13:49:41Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T13:48:42Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:48:15Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T13:47:55Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:47:03Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,119000
2025-01-13T13:46:21Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:38:44Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T13:38:44Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T13:38:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T13:38:20Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:35:10Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T13:33:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T13:32:09Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T13:31:36Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T13:30:30Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T13:27:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
