date,상품,카테고리,발매가,브랜드,리셀가
2025-01-14T02:52:20Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-14T02:37:04Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,206000
2025-01-14T02:30:43Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,208000
2025-01-14T02:26:28Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,245000
2025-01-14T01:16:09Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,230000
2025-01-14T01:12:34Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-14T00:59:11Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-14T00:38:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-14T00:31:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-13T22:36:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T22:30:24Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-13T13:51:04Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,213000
2025-01-13T13:08:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T12:39:43Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,229000
2025-01-13T12:22:18Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,214000
2025-01-13T12:18:50Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,213000
2025-01-13T12:13:37Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,251000
2025-01-13T11:34:01Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,225000
2025-01-13T11:18:33Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T11:12:18Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T10:24:26Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-13T09:52:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,211000
2025-01-13T09:04:08Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-13T08:32:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,220000
2025-01-13T08:32:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-13T08:32:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-13T08:32:46Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-13T08:02:11Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-13T06:00:19Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-13T05:37:40Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T05:22:41Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-13T04:56:43Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,251000
2025-01-13T04:56:40Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-13T04:12:24Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,212000
2025-01-13T03:11:53Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-13T02:03:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,213000
2025-01-13T00:10:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,220000
2025-01-12T22:57:05Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-12T17:36:27Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-12T16:32:02Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,211000
2025-01-12T15:43:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,251000
2025-01-12T14:43:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-12T14:17:05Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,219000
2025-01-12T13:52:30Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,204000
2025-01-12T13:46:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-12T12:59:22Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,206000
2025-01-12T12:50:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-12T12:25:47Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-12T11:33:08Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-12T10:26:42Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-12T09:31:19Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-12T09:06:35Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-12T09:05:36Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-12T06:01:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,253000
2025-01-12T05:47:45Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,204000
2025-01-12T05:33:56Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-12T04:44:15Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,240000
2025-01-12T03:49:41Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-12T02:25:05Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-11T15:05:56Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-11T14:48:27Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,254000
2025-01-11T14:47:08Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T14:43:41Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T12:37:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T09:17:29Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-11T09:01:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T08:42:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,239000
2025-01-11T08:38:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,192000
2025-01-11T07:56:15Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-11T07:00:48Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-11T05:38:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-11T05:17:47Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-11T05:01:34Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-11T05:00:34Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,232000
2025-01-11T02:26:17Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-11T02:17:49Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,185000
2025-01-11T00:42:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-11T00:04:26Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T19:10:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-10T18:00:10Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,193000
2025-01-10T17:55:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-10T17:44:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-10T17:06:00Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,188000
2025-01-10T17:00:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,218000
2025-01-10T17:00:22Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-10T16:46:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-10T13:36:25Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,212000
2025-01-10T12:42:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,211000
2025-01-10T12:10:09Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-10T11:22:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
