날짜,종가,시가,고가,저가,거래량,변동 %
2025-02-14,"6,114.63","6,115.52","6,127.47","6,107.62",,-0.01%
2025-02-13,"6,115.07","6,060.59","6,116.91","6,050.95",,1.04%
2025-02-12,"6,051.97","6,025.08","6,063.00","6,003.00",,-0.27%
2025-02-11,"6,068.50","6,049.32","6,076.28","6,042.34",,0.03%
2025-02-10,"6,066.44","6,046.40","6,073.38","6,044.84",,0.67%
2025-02-07,"6,025.99","6,083.13","6,101.28","6,019.96",,-0.95%
2025-02-06,"6,083.57","6,072.22","6,084.03","6,046.83",,0.36%
2025-02-05,"6,061.48","6,020.45","6,062.86","6,007.06",,0.39%
2025-02-04,"6,037.88","5,998.14","6,042.48","5,990.87",,0.72%
2025-02-03,"5,994.57","5,969.65","6,022.13","5,923.93",,-0.76%
2025-01-31,"6,040.53","6,096.79","6,120.91","6,030.93",,-0.50%
2025-01-30,"6,071.17","6,050.75","6,086.64","6,027.46",,0.53%
2025-01-29,"6,039.31","6,057.70","6,062.83","6,012.96",,-0.47%
2025-01-28,"6,067.70","6,026.97","6,074.54","5,994.63",,0.92%
2025-01-27,"6,012.28","5,969.04","6,017.17","5,962.92",0.00K,-1.46%
2025-01-24,"6,101.24","6,121.43","6,128.18","6,088.74",0.00K,-0.29%
2025-01-23,"6,118.71","6,076.32","6,118.73","6,074.67",0.00K,0.53%
2025-01-22,"6,086.37","6,081.39","6,100.81","6,076.13",,0.61%
2025-01-21,"6,049.24","6,014.12","6,051.51","6,006.88",,0.88%
2025-01-17,"5,996.66","5,995.40","6,014.96","5,978.44",,1.00%
2025-01-16,"5,937.34","5,963.61","5,964.69","5,930.72",,-0.21%
2025-01-15,"5,949.91","5,905.21","5,960.61","5,905.21",,1.83%
